chart,age,age_units,gender,measure,measure_units,L,M,S
fenton_2013,36.71428571,weeks,f,weight,g,0.377476162,2769.67281,0.163515579
fenton_2013,36.85714286,weeks,f,weight,g,0.363172618,2802.551911,0.162394646
fenton_2013,37,weeks,f,weight,g,0.349426394,2835.084551,0.161317569
fenton_2013,37.14285714,weeks,f,weight,g,0.336226724,2867.225211,0.160283032
fenton_2013,37.28571429,weeks,f,weight,g,0.323562846,2898.928371,0.15928972
fenton_2013,37.42857143,weeks,f,weight,g,0.311423993,2930.148511,0.158336319
fenton_2013,37.57142857,weeks,f,weight,g,0.299799402,2960.841219,0.157421514
fenton_2013,37.71428571,weeks,f,weight,g,0.288678308,2990.987548,0.156543989
fenton_2013,37.85714286,weeks,f,weight,g,0.278049946,3020.594019,0.155702429
fenton_2013,38,weeks,f,weight,g,0.267903553,3049.66826,0.15489552
fenton_2013,38.14285714,weeks,f,weight,g,0.258228362,3078.217898,0.154121946
fenton_2013,38.28571429,weeks,f,weight,g,0.24901361,3106.250562,0.153380392
fenton_2013,38.42857143,weeks,f,weight,g,0.240248532,3133.773878,0.152669544
fenton_2013,38.57142857,weeks,f,weight,g,0.231922364,3160.796583,0.151988086
fenton_2013,38.71428571,weeks,f,weight,g,0.22402434,3187.352877,0.151334703
fenton_2013,38.85714286,weeks,f,weight,g,0.216543698,3213.502428,0.150708081
fenton_2013,39,weeks,f,weight,g,0.209469671,3239.306012,0.150106904
fenton_2013,39.14285714,weeks,f,weight,g,0.202791496,3264.824403,0.149529858
fenton_2013,39.28571429,weeks,f,weight,g,0.196498409,3290.118378,0.148975626
fenton_2013,39.42857143,weeks,f,weight,g,0.190579644,3315.248711,0.148442895
fenton_2013,39.57142857,weeks,f,weight,g,0.185024438,3340.275942,0.14793035
fenton_2013,39.71428571,weeks,f,weight,g,0.179822026,3365.25521,0.147436674
fenton_2013,39.85714286,weeks,f,weight,g,0.174961642,3390.236247,0.146960554
fenton_2013,40,weeks,f,weight,g,0.170432523,3415.268552,0.146500674
fenton_2013,40.14285714,weeks,f,weight,g,0.166223902,3440.401625,0.146055719
fenton_2013,40.28571429,weeks,f,weight,g,0.162325015,3465.684964,0.145624374
fenton_2013,40.42857143,weeks,f,weight,g,0.158725096,3491.168068,0.145205325
fenton_2013,40.57142857,weeks,f,weight,g,0.155413382,3516.899201,0.144797277
fenton_2013,40.71428571,weeks,f,weight,g,0.152379107,3542.898234,0.144399431
fenton_2013,40.85714286,weeks,f,weight,g,0.14961151,3569.156641,0.144011478
fenton_2013,41,weeks,f,weight,g,0.147099826,3595.664661,0.143633134
fenton_2013,41.14285714,weeks,f,weight,g,0.144833294,3622.412536,0.143264112
fenton_2013,41.28571429,weeks,f,weight,g,0.142801151,3649.390505,0.142904127
fenton_2013,41.42857143,weeks,f,weight,g,0.140992633,3676.588809,0.142552893
fenton_2013,41.57142857,weeks,f,weight,g,0.139396977,3703.997671,0.142210123
fenton_2013,41.71428571,weeks,f,weight,g,0.138003418,3731.606927,0.141875534
fenton_2013,41.85714286,weeks,f,weight,g,0.136801183,3759.406025,0.141548837
fenton_2013,42,weeks,f,weight,g,0.135779503,3787.384395,0.141229749
fenton_2013,42.14285714,weeks,f,weight,g,0.134927606,3815.53147,0.140917982
fenton_2013,42.28571429,weeks,f,weight,g,0.134234722,3843.83668,0.140613252
fenton_2013,42.42857143,weeks,f,weight,g,0.133690079,3872.289458,0.140315272
fenton_2013,42.57142857,weeks,f,weight,g,0.133282907,3900.879237,0.140023757
